transaction_id,customer_id,transaction_amount,transaction_date,payment_method,ip_address,fraud_label
1,216,10.74,2024-05-21 20:37:44,Wire Transfer,192.168.225.111,0
2,251,2.59,2024-08-05 20:37:44,Paypal,192.168.76.73,0
3,811,49.24,2024-01-08 20:37:44,Wire Transfer,192.168.160.203,0
4,126,16.94,2024-02-10 20:37:44,Debit Card,192.168.229.152,0
5,994,16.41,2024-05-14 20:37:44,Paypal,192.168.7.72,0
6,217,20.17,2024-09-06 20:37:44,Debit Card,192.168.225.217,0
7,306,54.35,2024-06-30 20:37:44,Paypal,192.168.129.131,0
8,797,102.26,2023-12-02 20:37:44,Debit Card,192.168.104.28,0
9,185,71.17,2024-02-11 20:37:44,Credit Card,192.168.43.97,0
10,39,65.01,2023-12-26 20:37:44,Credit Card,192.168.46.1,0
11,223,33.12,2023-12-13 20:37:44,Credit Card,192.168.166.245,0
12,184,59.18,2023-12-04 20:37:44,Debit Card,192.168.219.102,0
13,495,40.23,2024-07-23 20:37:44,Paypal,192.168.35.202,0
14,427,12.18,2024-02-10 20:37:44,Wire Transfer,192.168.204.202,0
15,178,11.7,2024-05-25 20:37:44,Wire Transfer,192.168.54.226,0
16,919,17.58,2024-05-13 20:37:44,Debit Card,192.168.24.156,0
17,428,120.85,2024-09-12 20:37:44,Debit Card,192.168.22.237,0
18,294,39.64,2024-08-22 20:37:44,Debit Card,192.168.16.13,0
19,852,66.2,2024-09-09 20:37:44,Debit Card,192.168.100.100,0
20,151,21.28,2024-07-11 20:37:44,Wire Transfer,192.168.62.171,0
21,384,26.19,2024-04-16 20:37:44,Paypal,192.168.87.78,0
22,638,6.71,2024-10-06 20:37:44,Wire Transfer,192.168.160.67,0
23,813,9.39,2024-08-31 20:37:44,Debit Card,192.168.91.211,0
24,308,87.83,2024-10-23 20:37:44,Credit Card,192.168.214.185,0
25,336,43.95,2024-10-20 20:37:44,Wire Transfer,192.168.193.197,0
26,946,20.59,2023-12-30 20:37:44,Credit Card,192.168.177.33,0
27,746,81.19,2024-09-01 20:37:44,Credit Card,192.168.115.19,0
28,892,14.15,2024-04-08 20:37:44,Debit Card,192.168.164.243,0
29,375,186.55,2024-06-01 20:37:44,Wire Transfer,192.168.198.124,0
30,8,21.14,2024-07-30 20:37:44,Paypal,192.168.143.228,0
31,341,20.57,2024-04-17 20:37:44,Wire Transfer,192.168.120.97,0
32,129,18.69,2024-06-17 20:37:44,Paypal,192.168.24.27,0
33,776,6.51,2024-09-13 20:37:44,Paypal,192.168.177.75,0
34,669,5.89,2024-08-18 20:37:44,Debit Card,192.168.241.23,0
35,352,52.22,2024-02-14 20:37:44,Paypal,192.168.161.41,0
36,358,104.02,2024-05-06 20:37:44,Wire Transfer,192.168.238.239,0
37,517,78.16,2024-11-03 20:37:44,Wire Transfer,192.168.56.157,0
38,495,7.61,2023-11-22 20:37:44,Credit Card,192.168.159.193,0
39,86,39.44,2023-11-25 20:37:44,Paypal,192.168.98.146,0
40,175,5.58,2024-07-22 20:37:44,Debit Card,192.168.210.6,0
41,802,2.32,2024-06-24 20:37:44,Debit Card,192.168.180.40,0
42,193,53.41,2024-09-19 20:37:44,Wire Transfer,192.168.193.239,0
43,311,38.3,2024-09-19 20:37:44,Paypal,192.168.42.222,0
44,119,4.28,2024-08-14 20:37:44,Debit Card,192.168.196.32,0
45,218,1.78,2024-09-02 20:37:44,Paypal,192.168.10.235,0
46,427,229.06,2024-08-17 20:37:44,Paypal,192.168.69.9,0
47,970,1.52,2024-09-28 20:37:44,Credit Card,192.168.69.189,0
48,414,29.4,2024-04-04 20:37:44,Debit Card,192.168.139.99,0
49,114,35.12,2024-09-13 20:37:44,Credit Card,192.168.219.196,0
50,978,6.24,2024-03-28 20:37:44,Debit Card,192.168.74.103,0
51,145,9.26,2024-04-27 20:37:44,Paypal,192.168.225.123,0
52,538,21.68,2024-03-06 20:37:44,Debit Card,192.168.102.8,0
53,648,71.71,2024-05-27 20:37:44,Wire Transfer,192.168.177.152,0
54,303,35.37,2024-09-08 20:37:44,Paypal,192.168.231.161,0
55,744,50.79,2024-02-20 20:37:44,Debit Card,192.168.233.235,0
56,881,210.57,2024-07-20 20:37:44,Credit Card,192.168.19.2,0
57,588,73.05,2024-03-01 20:37:44,Credit Card,192.168.55.139,0
58,987,28.49,2024-04-24 20:37:44,Paypal,192.168.227.17,0
59,840,29.57,2024-05-15 20:37:44,Credit Card,192.168.170.61,0
60,345,48.22,2024-10-14 20:37:44,Paypal,192.168.131.86,0
61,814,54.74,2024-03-08 20:37:44,Paypal,192.168.35.213,0
62,964,34.73,2024-10-21 20:37:44,Paypal,192.168.217.103,0
63,801,51.76,2024-02-18 20:37:44,Debit Card,192.168.66.1,0
64,1,1.19,2023-12-28 20:37:44,Paypal,192.168.135.148,0
65,147,28.07,2024-10-20 20:37:44,Credit Card,192.168.171.119,0
66,287,16.35,2024-07-26 20:37:44,Wire Transfer,192.168.134.55,0
67,976,6.92,2024-03-17 20:37:44,Debit Card,192.168.100.243,0
68,654,5.24,2024-01-08 20:37:44,Credit Card,192.168.252.21,0
69,53,46.22,2024-03-08 20:37:44,Paypal,192.168.51.174,0
70,304,37.07,2024-08-20 20:37:44,Paypal,192.168.163.100,0
71,69,14.62,2024-06-12 20:37:44,Wire Transfer,192.168.8.242,0
72,361,31.83,2024-10-30 20:37:44,Credit Card,192.168.68.107,0
73,602,33.89,2023-12-24 20:37:44,Debit Card,192.168.144.67,0
74,958,10.85,2024-03-30 20:37:44,Credit Card,192.168.199.192,0
